timestamp,icao24,latitude,longitude,velocity
1547424000,4ca1fe,51.67130809719279,2.311248779296875,127.86805475967044
1547424000,a3e94e,41.02541648735434,-73.84441722523081,183.1052110730172
1547424010,ad4eb5,25.04305564751059,-79.93533152454302,212.2516394455052
1547424010,ac0b7f,35.547381902145126,-115.0258620241855,209.46969552263369
1547424010,aa568e,39.702667236328125,-110.6815835703974,244.06396663178995
1547424010,a1bfb2,42.17596435546875,-101.35443253950638,247.71747315691675
1547424010,ab415e,35.306396484375,-110.33735275268556,196.2912299891464
1547424010,7c6d76,-32.04267883300781,116.1966796875,144.88061973453722
1547424010,c00734,30.203371209613348,-80.82147216796875,206.3407885453389
1547424010,aba841,41.97228900456832,-82.5007451966751,168.6937103324715
1547424010,ab0a95,42.78429968882415,-85.0702684979106,233.5666409165957
1547424010,70c0a4,27.1636962890625,50.20083445423055,220.0630046034092
1547424010,abc80c,30.434371948242188,-97.95512479894302,208.7616033909053
1547424010,3c7064,40.766306731660485,-74.77731878107244,225.8356425944692
1547424010,a50c3e,40.6776712708554,-76.30922490900213,223.21416301762733
1547424010,a03765,38.23594665527344,-120.85895944148936,212.9301054643589
1547424010,acad4d,31.906298621226163,-91.19493134167732,201.52026358572712
1547424010,8a05ab,-33.401275634765625,148.4619873046875,244.18755211412085
1547424010,758560,15.729163218352754,121.26355852399554,238.09477622616896
1547424010,a99b83,40.92323432534428,-78.04643804376775,224.63066336477507
1547424010,e0664b,-33.02558898925781,-61.57716064453126,250.56591659143132
1547424010,4891b2,58.482086698887706,19.8482666015625,250.9780314303612
1547424010,a7e276,40.615814208984375,-74.01019287109375,87.3585898109951
1547424010,a624ac,37.35960388183594,-87.9213049056682,194.56663826114325
1547424010,a78e09,33.39420124635858,-107.31293970224807,203.86592047752012
1547424010,ab8b56,43.00323486328125,-84.59459577287947,196.06459060029752
1547424010,71c073,35.91533078985699,126.78696003366024,237.53724030516813
1547424010,a7bf86,43.54473049357786,-89.73122732979914,228.33433368591767
1547424010,a449e5,37.92852886652542,-105.28711733610734,269.63933369640625
